"file" "Chromis_chromis" "Coris_julis" "Serranus_scriba" "Spicara_smaris" "transNameCounts" "Boops_boops" "Seriola" "Anthias_anthias" "Diplodus_sargus" "Diplodus_vulgaris" "Epinephelus_marginatus" "Oblada_melanura" "Other" "Sarpa_salpa" "Sciaena_umbra" "Serranus_cabrilla" "Symphodus_tinca" "Thalassoma_pavo" "Apogon_imberbis" "Mullus_surmuletus" "Sparus_aurata"
"GX012709" "398" "317" "  9" "  1" "0" "0" "0" "  2" "372" "202" "0" "0" "104" " 12" "0" "0" "248" " 14" " 49" "  3" "0"
"GX012707" "562" "211" " 98" "0" "0" "0" "0" "0" "310" "102" "0" "  7" "  2" "  3" "0" "0" "141" "0" "0" "  2" "0"
"GX012705" " 26" " 56" "  4" "0" "0" "0" "0" "0" "379" " 22" "0" "  2" "  9" "  1" "0" "0" "114" " 20" "0" "0" "0"
"GX010787" "3421" "0" "0" "   8" "0" "0" "0" "   8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010786" "1858" "0" "0" "   1" "0" " 303" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010778" "4922" "  15" "0" "   1" "0" "  45" "  17" "   1" "   1" "0" "0" "0" "   2" "0" "   1" "0" "   1" "0" "0" "0" "0"
"GX010777" "804" "0" "0" "  2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010756" "0" "43" "0" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0" "15" "0" "0" "14" "0" "0" "0" "0"
"GX010755" " 45" "155" "  4" "0" "0" "0" "0" " 26" " 51" " 11" "0" " 59" "  5" "492" "0" "0" " 84" "  2" "0" "  1" "0"
"GX010754" "161" "127" "0" "0" "0" "0" "0" " 13" " 73" "0" "0" " 29" "0" "0" "0" "  1" " 27" "  3" "0" "0" "0"
"GH010022" "0" "54" " 4" "0" "0" "0" "0" "0" "32" "78" "0" "39" "0" " 1" "0" "0" "12" "0" "0" "0" "0"
